16,16
35,26,195,164,76,97,19,185,79,112,69,112,112,45,121,157
185,81,141,90,69,34,109,31,179,186,201,49,26,169,185,26
136,74,76,65,25,155,193,45,204,95,203,193,113,99,162,192
107,98,104,98,89,137,115,129,88,47,194,43,76,81,142,11
61,203,147,168,29,41,10,186,20,113,147,44,173,135,168,134
131,68,113,37,64,209,74,95,102,78,39,146,18,97,150,42
91,82,69,68,71,130,194,161,60,67,84,33,17,116,35,123
39,204,198,116,72,136,146,37,58,27,192,168,64,99,12,100
149,187,99,138,72,113,45,194,129,16,155,53,190,192,48,81
119,18,93,64,104,153,202,175,42,175,50,138,103,69,145,23
140,205,120,121,169,48,144,24,137,58,103,101,50,32,195,30
20,92,26,191,10,88,185,16,187,183,193,170,130,161,133,183
148,167,163,92,121,202,167,151,167,118,93,78,14,71,152,22
52,148,22,110,95,20,53,91,179,55,20,170,94,55,18,20
141,207,83,77,152,114,94,100,185,68,10,162,202,72,17,12
183,43,11,118,91,43,160,181,21,72,162,58,126,107,193,175
