16,16
37,192,73,177,91,37,38,163,27,17,173,21,44,123,206,99
126,123,36,207,129,78,162,179,85,38,40,55,37,137,68,161
98,67,106,135,41,76,177,114,173,147,86,19,104,41,67,41
56,173,105,71,196,24,173,109,166,82,182,50,132,180,63,39
52,155,43,26,95,134,112,89,175,204,98,165,115,105,89,171
127,68,26,132,20,64,185,84,150,39,113,202,71,129,173,71
101,194,61,123,67,135,167,86,29,89,203,45,72,109,148,68
195,51,63,59,36,209,87,196,47,133,202,199,74,41,164,194
94,89,93,114,16,208,92,93,163,112,126,209,94,145,82,139
58,208,98,155,119,139,89,73,133,187,19,182,121,94,140,54
32,24,59,167,65,161,13,129,142,129,187,148,113,185,198,126
25,82,203,185,30,97,55,64,16,32,27,185,145,115,133,143
17,116,149,163,122,96,160,96,76,102,79,13,29,89,44,42
131,205,182,133,103,52,113,162,199,15,123,176,31,36,67,60
110,153,59,120,39,148,195,63,145,195,181,94,207,10,82,100
209,208,62,153,174,175,86,135,191,174,176,107,121,85,110,118
