2056280,2239043,2455440,981314,2040213,1806830,1761071,3028201,1002151,1284494,1630463,1124908,2209485,1196101,2467016,1804199
1843434,1713918,2116928,1597442,1929281,2422589,1781855,2431035,1753744,1904159,1996043,1729306,1650692,1451657,2697132,1706597
2557521,2032587,2785570,1572554,1790307,2723295,2418944,2375142,1824809,1838793,2091687,1822005,1891378,2443857,3072904,2488476
2876735,2303353,3051609,1841991,2181933,3298125,2508701,3814845,2423319,2196393,2748659,2113629,2452028,2302047,4166459,2358841
1058998,1433761,1696195,783469,1594916,1709808,1368751,1817014,981769,994274,1153134,963765,1369560,919642,1451692,1587518
2019451,1932192,3485455,1774517,2505034,2407241,2786928,3091233,2162961,2156525,2117933,1927626,2561175,2537830,2888657,2633933
3060164,2451897,3795839,1714168,3278474,2899405,2673383,3198022,2052464,2066052,2692023,2217410,2280222,2062214,3619562,2759796
1880783,1767682,2459710,1115225,2003405,2308751,1939849,2863877,1621775,1118131,2066595,1207741,2033569,1887977,2844578,2127544
2250085,2056363,2391833,1081675,2373805,2365703,2074257,2602253,1329313,1508899,2481950,1567668,1447923,1953496,2621686,1745220
2318320,1915601,1915490,1175466,1626225,2100670,1603472,1679578,1118590,1433748,1680930,1334275,1514778,1568705,2527486,1833201
1176887,1239198,1879187,779065,1088588,1700338,1620160,2161702,1179860,972818,1239387,977402,1374960,1763223,1486250,1618161
1193144,1604240,1777814,864013,1261119,2217545,1340269,1982523,1506754,1376043,1269627,1342727,1774964,1109007,1811029,1702780
1753697,1869341,1956368,1423408,1817631,2289006,1632160,1884209,1164159,1765670,1318015,1440476,1380669,1394333,2175021,1767419
1978947,1904374,3191264,1569224,2811806,2600388,2528208,3654244,2163564,1600516,2715764,1525575,2437517,2602713,2792777,2676227
2326109,1775111,2372854,1310324,1913215,2217109,1798469,2544463,1370097,2210473,1874265,1733816,1817895,1983669,2560658,2585840
1741480,1712777,2430699,1005345,1969062,1963739,1960527,2907741,1248852,1306317,1887704,1253737,1463085,1523109,2127801,1639520
